epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.019,1.43741,2.82894,1.48837,0.27634,0.22354,0.1964,0.11477,1.54226,2.33749,1.60659,0.000330435,0.000330435,0.000330435
2,202.701,1.43436,1.89268,1.49951,0.19467,0.26624,0.11674,0.06138,1.66897,inf,1.81951,0.000641864,0.000641864,0.000641864
3,297.745,1.44056,1.8412,1.51133,0.2461,0.24877,0.19054,0.09655,1.70839,2.33167,1.79872,0.000931293,0.000931293,0.000931293
4,392.552,1.4557,1.74473,1.50797,0.3479,0.2902,0.24561,0.12964,1.64014,2.04083,1.77395,0.000901,0.000901,0.000901
5,487.918,1.42079,1.65719,1.49814,0.34839,0.29438,0.2538,0.14668,1.50816,2.1592,1.61863,0.000868,0.000868,0.000868
6,582.659,1.39244,1.57911,1.47509,0.3617,0.30883,0.31591,0.1878,1.47781,1.76972,1.58191,0.000835,0.000835,0.000835
7,676.861,1.3724,1.51538,1.45854,0.37491,0.31978,0.27344,0.17214,1.46764,2.02404,1.61057,0.000802,0.000802,0.000802
8,770.862,1.36007,1.47688,1.45172,0.40322,0.34221,0.33722,0.2043,1.45787,1.59941,1.5257,0.000769,0.000769,0.000769
9,864.567,1.35043,1.42159,1.43736,0.43415,0.33811,0.34094,0.21699,1.43252,1.60283,1.54342,0.000736,0.000736,0.000736
10,957.895,1.31297,1.39118,1.42271,0.47203,0.3523,0.37886,0.24589,1.35981,1.47234,1.48788,0.000703,0.000703,0.000703
11,1051.6,1.2985,1.35158,1.41488,0.44543,0.35658,0.36574,0.22772,1.38765,1.57881,1.47634,0.00067,0.00067,0.00067
12,1144.59,1.28904,1.32195,1.40988,0.43417,0.36279,0.37045,0.23658,1.37117,1.57598,1.45746,0.000637,0.000637,0.000637
13,1238.57,1.30733,1.29973,1.40033,0.47103,0.37187,0.38342,0.24038,1.38524,1.48505,1.47345,0.000604,0.000604,0.000604
14,1332.68,1.27292,1.27057,1.38596,0.48364,0.37641,0.40671,0.2529,1.35274,1.42027,1.41974,0.000571,0.000571,0.000571
15,1425.59,1.28078,1.2485,1.39059,0.47336,0.36645,0.39012,0.25639,1.34549,1.44894,1.4462,0.000538,0.000538,0.000538
16,1518.83,1.25171,1.21087,1.37295,0.53716,0.38951,0.45401,0.29258,1.31878,1.35363,1.41436,0.000505,0.000505,0.000505
17,1634.34,1.26542,1.21448,1.3787,0.55523,0.39342,0.46125,0.30354,1.33068,1.24501,1.41609,0.000472,0.000472,0.000472
18,1727.58,1.23869,1.17377,1.3605,0.53786,0.4259,0.46669,0.30833,1.28139,1.2488,1.38654,0.000439,0.000439,0.000439
19,1842.55,1.24172,1.16075,1.35716,0.50516,0.4396,0.48041,0.31947,1.28548,1.19945,1.37118,0.000406,0.000406,0.000406
20,1936.5,1.2239,1.13759,1.34662,0.52719,0.43187,0.46956,0.31361,1.27352,1.20257,1.3674,0.000373,0.000373,0.000373
21,2032.64,1.2961,1.16666,1.40789,0.47847,0.42186,0.43774,0.28997,1.29674,1.37092,1.39044,0.00034,0.00034,0.00034
22,2124.96,1.28405,1.12008,1.39358,0.5281,0.43609,0.48072,0.32371,1.24538,1.1732,1.3418,0.000307,0.000307,0.000307
23,2242.53,1.27371,1.09439,1.37844,0.50913,0.43361,0.45495,0.2947,1.294,1.2405,1.37258,0.000274,0.000274,0.000274
24,2335.02,1.25721,1.07479,1.37858,0.55463,0.44247,0.49961,0.33547,1.25135,1.16129,1.35195,0.000241,0.000241,0.000241
25,2427.31,1.24563,1.03328,1.36056,0.54249,0.44917,0.48771,0.33424,1.21666,1.15024,1.32959,0.000208,0.000208,0.000208
26,2519.42,1.23731,1.01636,1.3495,0.59548,0.44189,0.51377,0.35332,1.20412,1.09294,1.3266,0.000175,0.000175,0.000175
27,2611.45,1.23123,0.99263,1.34747,0.60426,0.4404,0.51508,0.35163,1.2121,1.07894,1.31846,0.000142,0.000142,0.000142
28,2703.51,1.21973,0.97048,1.33721,0.57086,0.46717,0.5209,0.35529,1.20901,1.08271,1.31805,0.000109,0.000109,0.000109
29,2795.87,1.20482,0.95136,1.327,0.56212,0.4741,0.52679,0.36257,1.20864,1.06258,1.31823,7.6e-05,7.6e-05,7.6e-05
30,2888.05,1.18564,0.9397,1.31988,0.59398,0.45769,0.52708,0.36119,1.20935,1.05592,1.31295,4.3e-05,4.3e-05,4.3e-05
